id,ticker,uncertainty,stock_no_stmt,stock_with_stmt,delta_stock,expected_direction,direction_correct
1,AAPL,high,85.0,125.0,40.0,decrease,no
2,LX,high,80.0,195.0,115.0,decrease,no
3,ECELF,high,105.0,305.0,200.0,decrease,no
4,AAPL,high,230.0,385.0,155.0,decrease,no
5,M,high,95.0,460.0,365.0,decrease,no
6,AMVOY,high,0.0,110.0,110.0,decrease,no
7,GIS,high,295.0,130.0,-165.0,decrease,yes
8,WB,low,345.0,475.0,130.0,increase,yes
9,FSJ.L,high,540.0,205.0,-335.0,decrease,yes
10,HYPOF,high,215.0,60.0,-155.0,decrease,yes
11,BTM,high,100.0,150.3,50.30000000000001,decrease,no
12,DMCOF,high,435.0,185.0,-250.0,decrease,yes
13,NEPH,high,70.0,135.0,65.0,decrease,no
14,ALE.WA,high,90.0,210.0,120.0,decrease,no
15,TSMCF,high,140.0,155.0,15.0,decrease,no
16,PANL,high,365.0,385.0,20.0,decrease,no
17,UNPRF,high,685.0,360.0,-325.0,decrease,yes
18,ASUUY,high,405.0,90.0,-315.0,decrease,yes
19,OKLO,low,40.0,360.0,320.0,increase,yes
20,MG,high,360.0,550.0,190.0,decrease,no
21,NC,high,460.0,195.0,-265.0,decrease,yes
22,ACNFF,high,545.0,730.0,185.0,decrease,no
23,WEYS,high,445.0,605.0,160.0,decrease,no
24,TTNDY,high,420.0,240.0,-180.0,decrease,yes
25,IHHHF,high,480.0,365.0,-115.0,decrease,yes
26,PGUCY,low,585.0,555.0,-30.0,increase,no
27,ANIOY,high,435.0,260.0,-175.0,decrease,yes
28,BASFY,high,505.0,170.0,-335.0,decrease,yes
29,EENNF,high,435.0,80.0,-355.0,decrease,yes
30,CEBUY,high,450.0,605.0,155.0,decrease,no
31,CHKGF,high,260.0,110.0,-150.0,decrease,yes
32,ZGN,high,225.0,280.0,55.0,decrease,no
33,SON.LS,high,645.0,400.0,-245.0,decrease,yes
34,NOC,low,555.0,525.0,-30.0,increase,no
35,GD,high,385.0,285.0,-100.0,decrease,yes
36,UPWK,low,245.0,625.0,380.0,increase,yes
37,CHGG,high,355.0,90.0,-265.0,decrease,yes
38,FVRR,low,290.0,200.0,-90.0,increase,no
39,TSM,high,190.0,280.0,90.0,decrease,no
40,SBUX,low,430.0,345.0,-85.0,increase,no
