layer,train_accuracy,train_f1,train_auc,test_accuracy,test_f1,test_auc
0,1.0,1.0,1.0,0.875,0.8666666666666667,0.9583333333333335
1,1.0,1.0,1.0,0.625,0.6166666666666667,0.9375
2,1.0,1.0,1.0,0.75,0.7416666666666667,0.9583333333333335
3,1.0,1.0,1.0,0.75,0.7416666666666667,0.9583333333333335
4,1.0,1.0,1.0,0.875,0.8666666666666667,0.9791666666666667
5,1.0,1.0,1.0,0.875,0.8666666666666667,0.9791666666666667
6,1.0,1.0,1.0,0.875,0.8666666666666667,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,1.0,1.0,1.0
18,1.0,1.0,1.0,1.0,1.0,1.0
19,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,0.875,0.8666666666666667,1.0
24,1.0,1.0,1.0,0.875,0.8666666666666667,1.0
25,1.0,1.0,1.0,0.875,0.8666666666666667,1.0
26,1.0,1.0,1.0,0.875,0.8666666666666667,1.0
27,1.0,1.0,1.0,0.625,0.525,0.9791666666666667
