layer,train_accuracy,train_f1,train_auc,test_accuracy,test_f1,test_auc
0,0.8458333333333333,0.8453020560450901,0.9610416666666666,0.8166666666666667,0.8154135338345865,0.9453125
1,0.98125,0.9812296366477948,0.9983007812500001,0.9583333333333334,0.9585993323945131,0.9897916666666667
2,1.0,1.0,1.0,0.9666666666666667,0.9666375980739124,0.9990625000000002
3,1.0,1.0,1.0,0.9833333333333333,0.9833320310465178,0.9987500000000001
4,1.0,1.0,1.0,0.9833333333333333,0.9833320310465178,0.9989583333333333
5,1.0,1.0,1.0,0.9833333333333333,0.9833320310465178,0.9989583333333333
6,1.0,1.0,1.0,0.9833333333333333,0.9833320310465178,0.9991666666666668
7,1.0,1.0,1.0,0.975,0.9749920861031972,0.9989583333333333
8,1.0,1.0,1.0,0.975,0.9749920861031972,0.9989583333333333
9,1.0,1.0,1.0,0.975,0.9749920861031972,0.9988541666666667
10,1.0,1.0,1.0,0.975,0.9749920861031972,0.9986458333333333
11,1.0,1.0,1.0,0.975,0.9749920861031972,0.9993750000000001
12,1.0,1.0,1.0,0.975,0.9749920861031972,0.9993750000000001
13,1.0,1.0,1.0,0.975,0.9749920861031972,0.9992708333333333
14,1.0,1.0,1.0,0.975,0.9749920861031972,0.9993750000000001
15,1.0,1.0,1.0,0.975,0.9749920861031972,0.9993750000000001
16,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9996875000000001
17,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9996875000000001
18,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9994791666666667
19,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9996875000000001
20,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,0.9996875000000001
21,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,0.9996875000000001
22,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9993750000000001
23,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9994791666666667
24,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.999375
25,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9993750000000001
26,1.0,1.0,1.0,0.975,0.9749647942419026,0.9992708333333333
27,1.0,1.0,1.0,0.975,0.9749920861031972,0.9993750000000001
28,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,0.9993750000000001
29,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,0.9993750000000001
30,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,0.9993750000000001
31,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,0.9993750000000001
32,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,0.9992708333333333
33,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,0.9993750000000001
34,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,0.9994791666666667
35,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,0.9992708333333333
36,1.0,1.0,1.0,0.9833333333333333,0.9833320310465178,0.9990625000000001
37,1.0,1.0,1.0,0.9833333333333333,0.9833320310465178,0.9992708333333333
38,1.0,1.0,1.0,0.9833333333333333,0.9833320310465178,0.9992708333333333
39,1.0,1.0,1.0,0.9833333333333333,0.9833320310465178,0.9996875000000001
40,1.0,1.0,1.0,0.9833333333333333,0.9833320310465178,0.9993750000000001
41,1.0,1.0,1.0,0.9833333333333333,0.9833320310465178,0.9993750000000001
