layer,train_accuracy,train_f1,train_auc,test_accuracy,test_f1,test_auc
0,0.9270833333333334,0.9276917784657722,0.9760481770833332,0.8833333333333333,0.8834659593280283,0.9677083333333333
1,0.9145833333333333,0.9146967031386872,0.9691341145833332,0.9,0.900884840173703,0.9572916666666667
2,0.9166666666666666,0.917302925999272,0.9658268229166665,0.8666666666666667,0.8685604205439645,0.9504166666666667
3,0.925,0.9253403995402341,0.9766536458333334,0.8666666666666667,0.8684743942196517,0.9653125
4,0.9354166666666667,0.9359047453789775,0.9921614583333332,0.9083333333333333,0.9088949110300337,0.9883333333333333
5,0.9729166666666667,0.9729742218048759,0.99521484375,0.9333333333333333,0.9335993323945131,0.9927083333333333
6,0.9833333333333333,0.9833519533771925,0.9984309895833333,0.9583333333333334,0.958260592728288,0.9984375
7,0.9875,0.9875246048602586,0.9994661458333333,0.975,0.9749920861031972,0.9988541666666667
8,0.99375,0.9937434488292529,0.99974609375,0.975,0.9749920861031972,0.9992708333333334
9,0.9875,0.9874799203534567,0.9997851562500001,0.975,0.9749920861031972,0.9993750000000001
10,0.9916666666666667,0.9916666666666667,0.9995768229166667,0.975,0.9749920861031972,0.9994791666666667
11,0.9833333333333333,0.9833571000677189,0.9997591145833334,0.9666666666666667,0.9669205618572708,0.9996875000000001
12,0.99375,0.9937494506353097,0.9999088541666666,0.9833333333333333,0.9833229101521784,1.0
13,0.99375,0.9937494506353097,0.9999739583333332,0.9833333333333333,0.9833229101521784,0.9996875000000001
14,0.99375,0.9937494506353097,0.9999869791666666,0.9833333333333333,0.9833229101521784,0.9995833333333335
15,0.9979166666666667,0.9979166463214159,1.0,0.9916666666666667,0.9916653643798511,0.9996875000000001
16,0.9979166666666667,0.9979166463214159,1.0,0.9916666666666667,0.9916653643798511,0.9995833333333335
17,0.9958333333333333,0.9958331705665586,1.0,0.9916666666666667,0.9916653643798511,0.9994791666666667
18,0.9979166666666667,0.9979166463214159,1.0,0.9916666666666667,0.9916653643798511,0.9995833333333335
19,0.9979166666666667,0.9979166463214159,1.0,0.9916666666666667,0.9916653643798511,0.9996875000000001
20,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,0.9998958333333334
21,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,0.9998958333333334
22,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,0.9998958333333334
23,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,0.9997916666666667
24,1.0,1.0,1.0,0.9833333333333333,0.9833320310465178,0.9997916666666667
25,1.0,1.0,1.0,0.9833333333333333,0.9833320310465178,0.9996875000000001
26,1.0,1.0,1.0,0.975,0.9751015783716206,0.9996875000000001
27,1.0,1.0,1.0,0.975,0.9751015783716206,0.9996875000000001
28,1.0,1.0,1.0,0.975,0.9751015783716206,0.9996875000000001
29,1.0,1.0,1.0,0.9833333333333333,0.9833320310465178,0.9996875000000001
30,1.0,1.0,1.0,0.9833333333333333,0.9833320310465178,0.9996875000000001
31,1.0,1.0,1.0,0.9833333333333333,0.9833320310465178,0.9995833333333335
