layer,train_accuracy,train_f1,train_auc,test_accuracy,test_f1,test_auc
0,0.9708333333333333,0.9709350984061041,0.9961132812500001,0.9166666666666666,0.9177945823515443,0.9872916666666668
1,0.9833333333333333,0.9833700171489589,0.9988411458333333,0.9416666666666667,0.9417537195314973,0.9933333333333335
2,0.9875,0.9874998982737462,0.9995052083333333,0.9416666666666667,0.9417537195314973,0.9951041666666668
3,0.99375,0.9937498783075992,0.9998177083333334,0.9333333333333333,0.9340434419381788,0.9967708333333333
4,0.9958333333333333,0.9958331705665586,0.99986328125,0.9583333333333334,0.9583067740249313,0.9970833333333334
5,0.9958333333333333,0.9958331705665586,0.9999544270833333,0.9583333333333334,0.9583067740249313,0.9976041666666667
6,0.9979166666666667,0.9979166463214159,1.0,0.9666666666666667,0.9666562434855118,0.9987500000000001
7,1.0,1.0,1.0,0.975,0.9749920861031972,0.9993750000000001
8,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9996875000000001
9,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9995833333333334
10,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9995833333333334
11,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9993750000000001
12,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9994791666666667
13,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9994791666666667
14,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9996875000000001
15,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9996875000000001
16,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9995833333333334
17,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9996875000000001
18,1.0,1.0,1.0,0.975,0.9749647942419026,0.9997916666666667
19,1.0,1.0,1.0,0.975,0.9749647942419026,0.9997916666666667
20,1.0,1.0,1.0,0.975,0.9749647942419026,0.9995833333333334
21,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9997916666666667
22,1.0,1.0,1.0,0.9833333333333333,0.9833229101521784,0.9997916666666667
23,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,0.9997916666666667
24,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,1.0
25,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,1.0
26,1.0,1.0,1.0,0.9916666666666667,0.9916653643798511,1.0
27,1.0,1.0,1.0,0.9833333333333333,0.9833320310465178,0.9998958333333334
